Prompt,Response,Description,Testcase name,Testcase Name
Generate a robot framework test case for testing to Validate Merchant Is Able To Cancel Send Invoice Email Popup functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that Merchant Is Able To Cancel Send Invoice Email Popup functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                  https://example.com/paynow
${MERCHANT_DETAILS}     merchant_details
${INVOICE_DETAILS}      invoice_details

*** Test Cases ***
Validate Cancelling Send Invoice Email Popup
    [Documentation] Test case for validating that Merchant Is Able To Cancel Send Invoice Email Popup functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate to Invoice Details Page
    Click Cancel on Send Invoice Email Popup
    Validate Popup Cancelled",This test case checks the validation for cancelling send invoice email popup functionality of the PayNOW datadriver.,Validate Cancelling Send Invoice Email Popup,
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Virtual Terminal By Clicking On Pay Invoice in Invoice Details Tab functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that Merchant Is Able To Navigate To Virtual Terminal By Clicking On Pay Invoice in Invoice Details Tab functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${INVOICE_DETAILS}          invoice_details

*** Test Cases ***
Validate Navigation To Virtual Terminal
    [Documentation] Test case for validating that Merchant Is Able To Navigate To Virtual Terminal By Clicking On Pay Invoice in Invoice Details Tab functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate to Invoice Details Tab
    Click Pay Invoice
    Validate Navigation to Virtual Terminal",This test case checks the validation for navigating to virtual terminal by clicking on pay invoice in invoice details tab functionality of the PayNOW datadriver.,Validate Navigation To Virtual Terminal,
Generate a robot framework test case for testing to Validate Merchant Is Able Navigate To Invoice Page By Clicking On Customer View in Invoice Details Page functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that Merchant Is Able Navigate To Invoice Page By Clicking On Customer View in Invoice Details Page functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${INVOICE_DETAILS}          invoice_details

*** Test Cases ***
Validate Navigation To Invoice Page
    [Documentation] Test case for validating that Merchant Is Able Navigate To Invoice Page By Clicking On Customer View in Invoice Details Page functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate to Invoice Details Page
    Click Customer View
    Validate Navigation to Invoice Page",This test case checks the validation for navigating to invoice page by clicking on customer view in invoice details page functionality of the PayNOW datadriver.,Validate Navigation To Invoice Page,
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Invoice Details Page From Invoice Page functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that Merchant Is Able To Navigate To Invoice Details Page From Invoice Page functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${INVOICE_DETAILS}          invoice_details

*** Test Cases ***
Validate Navigation To Invoice Details Page
    [Documentation] Test case for validating that Merchant Is Able To Navigate To Invoice Details Page From Invoice Page functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate to Invoice Page
    Click on Invoice
    Validate Navigation to Invoice Details Page",This test case checks the validation for navigating to invoice details page from invoice page functionality of the PayNOW datadriver.,Validate Navigation To Invoice Details Page,
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Customer Details From Invoice Summary functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to customer details from invoice summary functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${INVOICE_SUMMARY}          invoice_summary
${CUSTOMER_DETAILS}         customer_details

*** Test Cases ***
Validate Navigation To Customer Details
    [Documentation] Test case for validating that merchant is able to navigate to customer details from invoice summary functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Invoice Summary Details ${INVOICE_SUMMARY}
    Click On Customer Name
    Validate Navigation To Customer Details ${CUSTOMER_DETAILS}",This test case checks the validation for navigating to customer details from invoice summary functionality of the PayNOW datadriver.,Validate Navigation To Customer Details,
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Customer Details Page From Invoice Page functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to customer details page from invoice page functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                 https://example.com/paynow
${INVOICE_PAGE}        invoice_page
${CUSTOMER_PAGE}       customer_page

*** Test Cases ***
Validate Navigate to Customer Details Page
    [Documentation] Test case for validating that merchant is able to navigate to customer details page from invoice page functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Go To Invoice Page ${INVOICE_PAGE}
    Navigate To Customer Details Page ${CUSTOMER_PAGE}",This test case checks the validation for navigating to customer details page from invoice page functionality of the PayNOW datadriver.,,Validate Navigate to Customer Details Page
Generate a robot framework test case for testing to Validate Merchant Is Able To View Sent Date And Provider Response Message Of Email functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view sent date and provider response message of email functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                 https://example.com/paynow
${EMAIL_PAGE}          email_page
${SENT_DATE}           sent_date
${RESPONSE_MSG}        response_msg

*** Test Cases ***
Validate View Sent Date and Response Message
    [Documentation] Test case for validating that merchant is able to view sent date and provider response message of email functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Go To Email Page ${EMAIL_PAGE}
    Verify Sent Date ${SENT_DATE}
    Verify Provider Response Message ${RESPONSE_MSG}",This test case checks the validation for viewing sent date and provider response message of email functionality of the PayNOW datadriver.,,Validate View Sent Date and Response Message
Generate a robot framework test case for testing to Validate Merchant Is Able To View Subject And Sent Address Of Email functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view subject and sent address of email functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${EMAIL_PAGE}               email_page
${SUBJECT}                  subject
${SENT_ADDRESS}             sent_address

*** Test Cases ***
Validate View Subject and Sent Address
    [Documentation] Test case for validating that merchant is able to view subject and sent address of email functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Go To Email Page ${EMAIL_PAGE}
    Verify Email Subject ${SUBJECT}
    Verify Sent Address ${SENT_ADDRESS}",This test case checks the validation for viewing subject and sent address of email functionality of the PayNOW datadriver.,Validate View Subject and Sent Address,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Format Type For Single Invoice functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view format type for single invoice functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${INVOICE_PAGE}             invoice_page
${FORMAT_TYPE}              format_type

*** Test Cases ***
Validate View Format Type for Single Invoice
    [Documentation] Test case for validating that merchant is able to view format type for single invoice functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Go To Invoice Page ${INVOICE_PAGE}
    Verify Format Type ${FORMAT_TYPE}",This test case checks the validation for viewing format type for single invoice functionality of the PayNOW datadriver.,Validate View Format Type for Single Invoice,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Format Type For Multiple Invoices functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is able to view format type for multiple invoices functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${INVOICE_PAGE}             invoice_page
${FORMAT_TYPE}              format_type

*** Test Cases ***
Validate View Format Type for Multiple Invoices
    [Documentation] Test case for validating that the merchant is able to view format type for multiple invoices functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Go To Invoice Page ${INVOICE_PAGE}
    Verify Format Type ${FORMAT_TYPE}",This test case checks the validation for viewing format type for multiple invoices functionality of the PayNOW datadriver.,Validate View Format Type for Multiple Invoices,
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Transaction Details From Pending Payments functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to transaction details from pending payments functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${PENDING_PAYMENTS}         pending_payments
${TRANSACTION_DETAILS}      transaction_details

*** Test Cases ***
Validate Navigate to Transaction Details from Pending Payments
    [Documentation] Test case for validating that merchant is able to navigate to transaction details from pending payments functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Go To Pending Payments ${PENDING_PAYMENTS}
    Navigate To Transaction Details ${TRANSACTION_DETAILS}",This test case checks the validation for navigating to transaction details from pending payments functionality of the PayNOW datadriver.,Validate Navigate to Transaction Details from Pending Payments,
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Customer Details From Invoice Summary functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to customer details from invoice summary functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${INVOICE_SUMMARY}          invoice_summary
${CUSTOMER_DETAILS}         customer_details

*** Test Cases ***
Validate Navigate to Customer Details from Invoice Summary
    [Documentation] Test case for validating that merchant is able to navigate to customer details from invoice summary functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Go To Invoice Summary ${INVOICE_SUMMARY}
    Navigate To Customer Details ${CUSTOMER_DETAILS}",This test case checks the validation for navigating to customer details from invoice summary functionality of the PayNOW datadriver.,Validate Navigate to Customer Details from Invoice Summary,
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Customer Details Page From Invoice Page functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to customer details page from invoice page functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${CUSTOMER_DETAILS_PAGE}    customer_details_page

*** Test Cases ***
Validate Navigation To Customer Details Page
    [Documentation] Test case for validating that merchant is able to navigate to customer details page from invoice page functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate To Invoice Page
    Click On Customer Name
    Validate Navigation To Customer Details Page ${CUSTOMER_DETAILS_PAGE}",This test case checks the validation for navigating to customer details page from invoice page functionality of the PayNOW datadriver.,Validate Navigation To Customer Details Page,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Sent Date And Provider Response Message Of Email functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view sent date and provider response message of email functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${EMAIL_DETAILS}            email_details
${SENT_DATE}                sent_date
${PROVIDER_RESPONSE}        provider_response

*** Test Cases ***
Validate Email Details
    [Documentation] Test case for validating that merchant is able to view sent date and provider response message of email functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Email Details ${EMAIL_DETAILS}
    View Sent Date ${SENT_DATE}
    View Provider Response Message ${PROVIDER_RESPONSE}",This test case checks the validation for viewing sent date and provider response message of email functionality of the PayNOW datadriver.,Validate Email Details,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Subject And Sent Address Of Email functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view subject and sent address of email functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${EMAIL_DETAILS}            email_details
${SUBJECT}                  subject
${SENT_ADDRESS}             sent_address

*** Test Cases ***
Validate Email Subject And Sent Address
    [Documentation] Test case for validating that merchant is able to view subject and sent address of email functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Email Details ${EMAIL_DETAILS}
    View Subject ${SUBJECT}
    View Sent Address ${SENT_ADDRESS}",This test case checks the validation for viewing subject and sent address of email functionality of the PayNOW datadriver.,Validate Email Subject And Sent Address,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Format Type For Single Invoice functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view format type for single invoice functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${INVOICE_DETAILS}          invoice_details
${FORMAT_TYPE}              format_type

*** Test Cases ***
Validate Single Invoice Format Type
    [Documentation] Test case for validating that merchant is able to view format type for single invoice functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Invoice Details ${INVOICE_DETAILS}
    View Format Type ${FORMAT_TYPE}",This test case checks the validation for viewing format type for single invoice functionality of the PayNOW datadriver.,Validate Single Invoice Format Type,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Format Type For Multiple Invoices functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view format type for multiple invoices functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${INVOICE_DETAILS}          invoice_details
${FORMAT_TYPE}              format_type

*** Test Cases ***
Validate Multiple Invoices Format Type
    [Documentation] Test case for validating that merchant is able to view format type for multiple invoices functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Invoice Details ${INVOICE_DETAILS}
    View Format Type ${FORMAT_TYPE}",This test case checks the validation for viewing format type for multiple invoices functionality of the PayNOW datadriver.,Validate Multiple Invoices Format Type,
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Transaction Details From Pending Payments functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to transaction details from pending payments functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${PENDING_PAYMENTS}         pending_payments
${TRANSACTION_DETAILS}      transaction_details

*** Test Cases ***
Validate Navigation To Transaction Details
    [Documentation] Test case for validating that merchant is able to navigate to transaction details from pending payments functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Pending Payments Details ${PENDING_PAYMENTS}
    Click On Transaction Details
    Validate Navigation To Transaction Details ${TRANSACTION_DETAILS}",This test case checks the validation for navigating to transaction details from pending payments functionality of the PayNOW datadriver.,Validate Navigation To Transaction Details,
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Customer Details From Invoice Summary functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to customer details from invoice summary functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${INVOICE_SUMMARY}          invoice_summary
${CUSTOMER_DETAILS}         customer_details

*** Test Cases ***
Validate Navigation To Customer Details
    [Documentation] Test case for validating that merchant is able to navigate to customer details from invoice summary functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Invoice Summary Details ${INVOICE_SUMMARY}
    Click On Customer Name
    Validate Navigation To Customer Details ${CUSTOMER_DETAILS}",This test case checks the validation for navigating to customer details from invoice summary functionality of the PayNOW datadriver.,Validate Navigation To Customer Details,
Generate a robot framework test case for testing to Validate Merchant Is Able to Expand And Collapse Invoice Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to expand and collapse invoice details functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${INVOICE_DETAILS}          invoice_details

*** Test Cases ***
Validate Expand And Collapse Invoice Details
    [Documentation] Test case for validating that merchant is able to expand and collapse invoice details functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Expand Invoice Details
    Validate Invoice Details Expanded ${INVOICE_DETAILS}
    Collapse Invoice Details
    Validate Invoice Details Collapsed ${INVOICE_DETAILS}",This test case checks the validation for expanding and collapsing invoice details functionality of the PayNOW datadriver.,Validate Expand And Collapse Invoice Details,
Generate a robot framework test case for testing to Validate Merchant Is Able To Enable Only show past due invoices functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to enable only show past due invoices functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${PAST_DUE_INVOICES}        past_due_invoices

*** Test Cases ***
Validate Enable Only Show Past Due Invoices
    [Documentation] Test case for validating that merchant is able to enable only show past due invoices functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Enable Only Show Past Due Invoices
    Validate Only Past Due Invoices Shown ${PAST_DUE_INVOICES}",This test case checks the validation for enabling only show past due invoices functionality of the PayNOW datadriver.,Validate Enable Only Show Past Due Invoices,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Invoices In Next And Previous Page functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view invoices in next and previous page functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${INVOICES_PAGE}            invoices_page

*** Test Cases ***
Validate View Invoices In Next And Previous Page
    [Documentation] Test case for validating that merchant is able to view invoices in next and previous page functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate To Next Page
    Validate Invoices In Next Page ${INVOICES_PAGE}
    Navigate To Previous Page
    Validate Invoices In Previous Page ${INVOICES_PAGE}",This test case checks the validation for viewing invoices in next and previous page functionality of the PayNOW datadriver.,Validate View Invoices In Next And Previous Page,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Invoices In Last And First Page functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view invoices in last and first page functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${INVOICES_PAGE}            invoices_page

*** Test Cases ***
Validate View Invoices In Last And First Page
    [Documentation] Test case for validating that merchant is able to view invoices in last and first page functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Click Last Page Link
    Validate Last Page Invoices Displayed ${INVOICES_PAGE}
    Click First Page Link
    Validate First Page Invoices Displayed ${INVOICES_PAGE}",This test case checks the validation for viewing invoices in last and first page functionality of the PayNOW datadriver.,Validate View Invoices In Last And First Page,
Generate a robot framework test case for testing to Validate Merchant Is Able To Filter Invoice Data In Invoice Details Grid functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to filter invoice data in invoice details grid functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${INVOICE_FILTER}           invoice_filter

*** Test Cases ***
Validate Filter Invoice Data
    [Documentation] Test case for validating that merchant is able to filter invoice data in invoice details grid functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Apply Invoice Filter ${INVOICE_FILTER}
    Validate Filtered Invoice Data Displayed ${INVOICE_FILTER}",This test case checks the validation for filtering invoice data in invoice details grid functionality of the PayNOW datadriver.,Validate Filter Invoice Data,
Generate a robot framework test case for testing to Validate Merchant Is Able To View The Email Clicked Date And Count When It Is Clicked functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view the email clicked date and count when it is clicked functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${EMAIL_CLICKED}            email_clicked

*** Test Cases ***
Validate View Email Clicked Date And Count
    [Documentation] Test case for validating that merchant is able to view the email clicked date and count when it is clicked functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Click Email Clicked Date Link
    Validate Email Clicked Date And Count Displayed ${EMAIL_CLICKED}",This test case checks the validation for viewing the email clicked date and count when it is clicked functionality of the PayNOW datadriver.,Validate View Email Clicked Date And Count,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Line Items Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view line items details functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${LINE_ITEMS}               line_items

*** Test Cases ***
Validate View Line Items Details
    [Documentation] Test case for validating that merchant is able to view line items details functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Click Line Items Link
    Validate Line Items Details Displayed ${LINE_ITEMS}",This test case checks the validation for viewing line items details functionality of the PayNOW datadriver.,Validate View Line Items Details,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Tracking Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view tracking details functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${TRACKING_DETAILS}         tracking_details

*** Test Cases ***
Validate View Tracking Details
    [Documentation] Test case for validating that merchant is able to view tracking details functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Click Tracking Details Link
    Validate Tracking Details Displayed ${TRACKING_DETAILS}",This test case checks the validation for viewing tracking details functionality of the PayNOW datadriver.,Validate View Tracking Details,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Financial Payments Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view financial payments details functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${FINANCIAL_PAYMENTS}       financial_payments

*** Test Cases ***
Validate View Financial Payments Details
    [Documentation] Test case for validating that merchant is able to view financial payments details functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Click Financial Payments Link
    Validate Financial Payments Details Displayed ${FINANCIAL_PAYMENTS}",This test case checks the validation for viewing financial payments details functionality of the PayNOW datadriver.,Validate View Financial Payments Details,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Pending Payments Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view pending payments details functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${PENDING_PAYMENTS}         pending_payments

*** Test Cases ***
Validate View Pending Payments Details
    [Documentation] Test case for validating that merchant is able to view pending payments details functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Click Pending Payments Link
    Validate Pending Payments Details Displayed ${PENDING_PAYMENTS}",This test case checks the validation for viewing pending payments details functionality of the PayNOW datadriver.,Validate View Pending Payments Details,
