prompt,testcase_type,testcase_name,response,documentation
Generate data-driven clientcentral_testcases for customers Testcases TC_77 Validate Merchant Is Able To Issue Refund For Credit Card Transaction,data-driven,TC_77 Validate Merchant Is Able To Issue Refund For Credit Card Transaction,"*** Settings ***
Documentation    Validate TC_77 Validate Merchant Is Able To Issue Refund For Credit Card Transaction
Test Template    Test Execution
Resource         resource_file.robot

*** Variables ***
${VALID_USER}       testuser
${VALID_PASSWORD}   secret

*** Test Cases ***
TC_77 Validate Merchant Is Able To Issue Refund For Credit Card Transaction
[Documentation]    Validate TC_77 Validate Merchant Is Able To Issue Refund For Credit Card Transaction using the following steps
Send Request To Create Customer    ${STERLING_COOPER}    ${nan}    ${nan}
Send Request To Create Invoice For Customer    ${STERLING_COOPER}    ${account_number}    ${nan}
Send Request To Process Payment For Credit Card    ${STERLING_COOPER}    ${account_number}    ${invoice_number}
Navigate To Customer Details Page    ${account_number}    ${nan}    ${nan}
Select Tab In Customer Page    ${Transactions}    ${nan}    ${nan}
Select Specific Transaction    ${invoice_number}    ${nan}    ${nan}
Issue Refund For Transaction    ${invoice_number}    ${reason_for_refund}    ${nan}
Validate Transaction Is Refunded    ${invoice_number}    ${nan}    ${nan}

*** Keywords ***
Send Request To Create Customer
[Arguments]    ${STERLING_COOPER}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${STERLING_COOPER}    ${nan}    ${nan}

Send Request To Create Invoice For Customer
[Arguments]    ${STERLING_COOPER}    ${account_number}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${STERLING_COOPER}    ${account_number}    ${nan}

Send Request To Process Payment For Credit Card
[Arguments]    ${STERLING_COOPER}    ${account_number}    ${invoice_number}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${STERLING_COOPER}    ${account_number}    ${invoice_number}

Navigate To Customer Details Page
[Arguments]    ${account_number}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${account_number}    ${nan}    ${nan}

Select Tab In Customer Page
[Arguments]    ${Transactions}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${Transactions}    ${nan}    ${nan}

Select Specific Transaction
[Arguments]    ${invoice_number}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${invoice_number}    ${nan}    ${nan}

Issue Refund For Transaction
[Arguments]    ${invoice_number}    ${reason_for_refund}    ${nan}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${invoice_number}    ${reason_for_refund}    ${nan}

Validate Transaction Is Refunded
[Arguments]    ${invoice_number}    ${nan}    ${nan}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${invoice_number}    ${nan}    ${nan}

","The test case 'TC_77 Validate Merchant Is Able To Issue Refund For Credit Card Transaction' ensures that a merchant can successfully process a refund for a completed credit card transaction. The key points of this test case include:
"
Generate data-driven paynow test cases for RetailPayment Testcases TC_12 Validate Customer Can Add And Remove Items From Shopping Cart,data-driven,TC_12 Validate Customer Can Add And Remove Items From Shopping Cart,"*** Settings ***
Documentation    Validate TC_12 Validate Customer Can Add And Remove Items From Shopping Cart
Test Template    Test Execution
Resource         resource_file.robot

*** Variables ***
${VALID_USER}       testuser
${VALID_PASSWORD}   secret

*** Test Cases ***
TC_12 Validate Customer Can Add And Remove Items From Shopping Cart
[Documentation]    Validate TC_12 Validate Customer Can Add And Remove Items From Shopping Cart using the following steps
Launch Retail Application    ${RETAIL_MERCHANT}    ${nan}    ${}
Add Item To Shopping Cart    ${item_id}    ${RETAIL_MERCHANT}    ${}
Verify Item In Shopping Cart    ${item_id}    ${nan}    ${}
Remove Item From Shopping Cart    ${item_id}    ${nan}    ${}
Verify Item Not In Shopping Cart    ${item_id}    ${nan}    ${}

*** Keywords ***
Launch Retail Application
[Arguments]    ${RETAIL_MERCHANT}    ${nan}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${RETAIL_MERCHANT}    ${nan}    ${}

Add Item To Shopping Cart
[Arguments]    ${item_id}    ${RETAIL_MERCHANT}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${item_id}    ${RETAIL_MERCHANT}    ${}

Verify Item In Shopping Cart
[Arguments]    ${item_id}    ${nan}    ${}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${item_id}    ${nan}    ${}

Remove Item From Shopping Cart
[Arguments]    ${item_id}    ${nan}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${item_id}    ${nan}    ${}

Verify Item Not In Shopping Cart
[Arguments]    ${item_id}    ${nan}    ${}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${item_id}    ${nan}    ${}

","**Test Case: TC_12 Validate Customer Can Add And Remove Items From Shopping Cart**

**Purpose:**

The purpose of this test case is to ensure that customers can efficiently manage items within their shopping cart in a retail application. Specifically, it aims to validate that:

1. **Add Items to Cart:** Customers can add items to their shopping cart, which should include verifying that the items appear correctly in the cart with the appropriate details such as item name, price, and quantity.
2. **Remove Items from Cart:** Customers can remove items from their shopping cart, ensuring that the application updates the cart accordingly and the items no longer appear in the cart list.

This functionality is crucial for improving the shopping experience by enabling customers to easily manage their purchases before proceeding to checkout."
Build data-driven clientcentral_testcases for all transactions Testcases TC_75 Validate Merchant Can Issue Refund For A Processed Transaction,data-driven,TC_75 Validate Merchant Can Issue Refund For A Processed Transaction,"*** Settings ***
Documentation    Validate TC_75 Validate Merchant Can Issue Refund For A Processed Transaction
Test Template    Test Execution
Resource         resource_file.robot

*** Variables ***
${VALID_USER}       testuser
${VALID_PASSWORD}   secret

*** Test Cases ***
TC_75 Validate Merchant Can Issue Refund For A Processed Transaction
[Documentation]    Validate TC_75 Validate Merchant Can Issue Refund For A Processed Transaction using the following steps
Generate Random Transaction Details    ${nan}    ${nan}    ${}
Launch ClientCentral Application    ${MERCHANT_ID}    ${nan}    ${}
Login To Merchant Account    ${VALID_USER}    ${VALID_PASSWORD}    ${}
Search For The Processed Transaction    ${transaction_id}    ${nan}    ${}
Issue Refund For The Transaction    ${transaction_id}    ${refund_amount}    ${}
Validate Refund Is Successful    ${transaction_id}    ${refund_status}    ${}

*** Keywords ***
Generate Random Transaction Details
[Arguments]    ${nan}    ${nan}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${nan}    ${nan}    ${}

Launch ClientCentral Application
[Arguments]    ${MERCHANT_ID}    ${nan}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${MERCHANT_ID}    ${nan}    ${}

Login To Merchant Account
[Arguments]    ${VALID_USER}    ${VALID_PASSWORD}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${VALID_USER}    ${VALID_PASSWORD}    ${}

Search For The Processed Transaction
[Arguments]    ${transaction_id}    ${nan}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${transaction_id}    ${nan}    ${}

Issue Refund For The Transaction
[Arguments]    ${transaction_id}    ${refund_amount}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${transaction_id}    ${refund_amount}    ${}

Validate Refund Is Successful
[Arguments]    ${transaction_id}    ${refund_status}    ${}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${transaction_id}    ${refund_status}    ${}
","The purpose of the test case 'TC_75 Validate Merchant Can Issue Refund For A Processed Transaction' is to ensure that merchants can successfully initiate and complete a refund for a transaction that has already been processed. This verification is crucial as it confirms that the refund mechanism within the system operates correctly, allowing merchants to manage refunds efficiently.

Specifically, the test case aims to:
1. Verify that the system allows merchants to search for and locate processed transactions.
2. Confirm that the user can initiate a refund for the specified transaction.
3. Check that the refund is processed without errors and the status of the transaction is updated accordingly.
4. Ensure that the refund action does not interfere with other ongoing transactions or system functionalities, thus maintaining the integrity and reliability of the payment processing system.

This validation helps in maintaining a robust and trustworthy transaction management environment for merchants."
Create data-driven clientcentral_testcases for customers Testcases TC_45 Validate Merchant Can Apply Credits To Invoices,data-driven,TC_45 Validate Merchant Can Apply Credits To Invoices,"*** Settings ***
Documentation    Validate TC_45 Validate Merchant Can Apply Credits To Invoices
Test Template    Test Execution
Resource         resource_file.robot

*** Variables ***
${VALID_USER}       testuser
${VALID_PASSWORD}   secret

*** Test Cases ***
TC_45 Validate Merchant Can Apply Credits To Invoices
[Documentation]    Validate TC_45 Validate Merchant Can Apply Credits To Invoices using the following steps
Send Request To Create Customer    ${STERLING_COOPER}    ${nan}    ${nan}
Send Request To Create Credit Note For Customer    ${STERLING_COOPER}    ${account_number}    ${credit_note_number}
Send Request To Create Invoice For Customer    ${STERLING_COOPER}    ${account_number}    ${invoice_number}
Navigate To Customer Details Page    ${account_number}    ${nan}    ${nan}
Select Tab In Customer Page    ${Invoices}    ${nan}    ${nan}
Apply Credit To Invoice    ${credit_note_number}    ${invoice_number}    ${nan}
Validate Credit Applied Successfully    ${invoice_number}    ${credit_note_number}    ${nan}

*** Keywords ***
Send Request To Create Customer
[Arguments]    ${STERLING_COOPER}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${STERLING_COOPER}    ${nan}    ${nan}

Send Request To Create Credit Note For Customer
[Arguments]    ${STERLING_COOPER}    ${account_number}    ${credit_note_number}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${STERLING_COOPER}    ${account_number}    ${credit_note_number}

Send Request To Create Invoice For Customer
[Arguments]    ${STERLING_COOPER}    ${account_number}    ${invoice_number}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${STERLING_COOPER}    ${account_number}    ${invoice_number}

Navigate To Customer Details Page
[Arguments]    ${account_number}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${account_number}    ${nan}    ${nan}

Select Tab In Customer Page
[Arguments]    ${Invoices}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${Invoices}    ${nan}    ${nan}

Apply Credit To Invoice
[Arguments]    ${credit_note_number}    ${invoice_number}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${credit_note_number}    ${invoice_number}    ${nan}

Validate Credit Applied Successfully
[Arguments]    ${invoice_number}    ${credit_note_number}    ${nan}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${invoice_number}    ${credit_note_number}    ${nan}

","**Test Case Summary for 'TC_45 Validate Merchant Can Apply Credits To Invoices'**

**Purpose:**

The purpose of this test case, TC_45, is to validate that a merchant can successfully apply credit notes to their invoices within the system. This test ensures that the credit application feature functions correctly and that merchants can manage their credit notes efficiently.

**Key Goals:**
"
Validate data-driven clientcentral_testcases for customers Testcases TC_88 Validate Merchant Can Generate Detailed Sales Report Under Specific Date Range,data-driven,TC_88 Validate Merchant Can Generate Detailed Sales Report Under Specific Date Range,"*** Settings ***
Documentation    Validate TC_88 Validate Merchant Can Generate Detailed Sales Report Under Specific Date Range
Test Template    Test Execution
Resource         resource_file.robot

*** Variables ***
${VALID_USER}       testuser
${VALID_PASSWORD}   secret

*** Test Cases ***
TC_88 Validate Merchant Can Generate Detailed Sales Report Under Specific Date Range
[Documentation]    Validate TC_88 Validate Merchant Can Generate Detailed Sales Report Under Specific Date Range using the following steps
Send Request To Create Merchant Account    ${VALID_USER}    ${nan}    ${nan}
Login To Merchant Portal    ${VALID_USER}    ${VALID_PASSWORD}    ${nan}
Navigate To Sales Report Section    ${nan}    ${nan}    ${nan}
Set Date Range For Sales Report    ${start_date}    ${end_date}    ${nan}
Generate Sales Report    ${nan}    ${nan}    ${nan}
Validate Sales Report Generated Successfully    ${start_date}    ${end_date}    ${nan}
Validate Sales Data In Report    ${nan}    ${nan}    ${nan}

*** Keywords ***
Send Request To Create Merchant Account
[Arguments]    ${VALID_USER}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${VALID_USER}    ${nan}    ${nan}

Login To Merchant Portal
[Arguments]    ${VALID_USER}    ${VALID_PASSWORD}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${VALID_USER}    ${VALID_PASSWORD}    ${nan}

Navigate To Sales Report Section
[Arguments]    ${nan}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${nan}    ${nan}    ${nan}

Set Date Range For Sales Report
[Arguments]    ${start_date}    ${end_date}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${start_date}    ${end_date}    ${nan}

Generate Sales Report
[Arguments]    ${nan}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${nan}    ${nan}    ${nan}

Validate Sales Report Generated Successfully
[Arguments]    ${start_date}    ${end_date}    ${nan}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${start_date}    ${end_date}    ${nan}

Validate Sales Data In Report
[Arguments]    ${nan}    ${nan}    ${nan}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${nan}    ${nan}    ${nan}

","**Test Case Summary: TC_88 Validate Merchant Can Generate Detailed Sales Report Under Specific Date Range**

**Purpose**:
This test case aims to verify that a merchant can successfully generate a detailed sales report within a given date range and that all relevant data is accurately presented in the report. The primary objectives are as follows:
"
Build data-driven paynow test cases for Sterlingcooper Testcases TC_10 Validate Customer Can Pay Invoices Successfully Using Credit Card,data-driven,TC_10 Validate Customer Can Pay Invoices Successfully Using Credit Card,"*** Settings ***
Documentation    Validate TC_10 Validate Customer Can Pay Invoices Successfully Using Credit Card
Test Template    Test Execution
Resource         resource_file.robot

*** Variables ***
${VALID_USER}       testuser
${VALID_PASSWORD}   secret

*** Test Cases ***
TC_10 Validate Customer Can Pay Invoices Successfully Using Credit Card
[Documentation]    Validate TC_10 Validate Customer Can Pay Invoices Successfully Using Credit Card using the following steps
Send Request To Create Customer    ${STERLING_COOPER_MERCHANT}    ${}    ${}
Create Invoice Through API    ${account_number}    ${STERLING_COOPER_MERCHANT}    ${}
Launch PayNow Application    ${STERLING_COOPER_MERCHANT}    ${nan}    ${}
Enter Account Number And Invoice    ${account_number}    ${invoice_number}    ${}
Select Payment Method    ${Credit Card}    ${nan}    ${}
Enter Credit Card Details    ${credit_card_details}    ${nan}    ${}
Process Invoice Payment    ${nan}    ${}    ${}
Validate Payment Success Message    ${payment_success_message}    ${nan}    ${}

*** Keywords ***
Send Request To Create Customer
[Arguments]    ${STERLING_COOPER_MERCHANT}    ${}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${STERLING_COOPER_MERCHANT}    ${}    ${}

Create Invoice Through API
[Arguments]    ${account_number}    ${STERLING_COOPER_MERCHANT}    ${}
[Return]    ${invoice_number}
[Documentation]    Keyword description
Log    ${account_number}    ${STERLING_COOPER_MERCHANT}    ${}

Launch PayNow Application
[Arguments]    ${STERLING_COOPER_MERCHANT}    ${nan}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${STERLING_COOPER_MERCHANT}    ${nan}    ${}

Enter Account Number And Invoice
[Arguments]    ${account_number}    ${invoice_number}    ${}
[Return]    ${integer}
[Documentation]    Keyword description
Log    ${account_number}    ${invoice_number}    ${}

Select Payment Method
[Arguments]    ${Credit Card}    ${nan}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${Credit Card}    ${nan}    ${}

Enter Credit Card Details
[Arguments]    ${credit_card_details}    ${nan}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${credit_card_details}    ${nan}    ${}

Process Invoice Payment
[Arguments]    ${nan}    ${}    ${}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${nan}    ${}    ${}

Validate Payment Success Message
[Arguments]    ${payment_success_message}    ${nan}    ${}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${payment_success_message}    ${nan}    ${}

","The purpose of the test case 'TC_10 Validate Customer Can Pay Invoices Successfully Using Credit Card' is to ensure the PayNow application's functionality for processing invoice payments via credit cards is operating correctly. This involves verifying that customers can select the Credit Card payment option, enter valid credit card details, and complete payments successfully. The test case also confirms that a successful payment message is displayed, thus enhancing user confidence and ensuring seamless transaction processing within the application."
Build data-driven paynow test cases for Sterlingcooper Testcases TC_07 Validate Customer Can Process Payment Using Credit Card And Save For Future Transactions,data-driven,TC_07 Validate Customer Can Process Payment Using Credit Card And Save For Future Transactions,"*** Settings ***
Documentation    Validate TC_07 Validate Customer Can Process Payment Using Credit Card And Save For Future Transactions
Test Template    Test Execution
Resource         resource_file.robot

*** Variables ***
${VALID_USER}       testuser
${VALID_PASSWORD}   secret

*** Test Cases ***
TC_07 Validate Customer Can Process Payment Using Credit Card And Save For Future Transactions
[Documentation]    Validate TC_07 Validate Customer Can Process Payment Using Credit Card And Save For Future Transactions using the following steps
Send Request To Create Customer    ${STERLING_COOPER_MERCHANT}    ${nan}    ${nan}
Send Request To Create Invoice For Customer    ${account_number}    ${STERLING_COOPER_MERCHANT}    ${nan}
Launch PayNow Application    ${STERLING_COOPER_MERCHANT}    ${nan}    ${nan}
Enter Account Number And Invoice    ${account_number}    ${invoice_number}    ${nan}
Pay The Invoice Using Credit Card And Save The Payment Method    ${integrated_merchant}    ${Visa}    ${45678.0}
Validate Credit Card Number Exists Under Saved Payment Methods    ${credit_card_last_four}    ${nan}    ${nan}

*** Keywords ***
Send Request To Create Customer
[Arguments]    ${STERLING_COOPER_MERCHANT}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${STERLING_COOPER_MERCHANT}    ${nan}    ${nan}

Send Request To Create Invoice For Customer
[Arguments]    ${account_number}    ${STERLING_COOPER_MERCHANT}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${account_number}    ${STERLING_COOPER_MERCHANT}    ${nan}

Launch PayNow Application
[Arguments]    ${STERLING_COOPER_MERCHANT}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${STERLING_COOPER_MERCHANT}    ${nan}    ${nan}

Enter Account Number And Invoice
[Arguments]    ${account_number}    ${invoice_number}    ${nan}
[Return]    ${integer}
[Documentation]    Keyword description
Log    ${account_number}    ${invoice_number}    ${nan}

Pay The Invoice Using Credit Card And Save The Payment Method
[Arguments]    ${integrated_merchant}    ${Visa}    ${45678.0}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${integrated_merchant}    ${Visa}    ${45678.0}

Validate Credit Card Number Exists Under Saved Payment Methods
[Arguments]    ${credit_card_last_four}    ${nan}    ${nan}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${credit_card_last_four}    ${nan}    ${nan}

","**Test Case: TC_07 - Validate Customer Can Process Payment Using Credit Card And Save For Future Transactions**

**Purpose:**

The purpose of this test case is to verify that a customer is able to process a payment using a credit card and save the credit card information for future transactions. This functionality is essential for providing customers with a convenient and seamless payment experience, as it allows them to use their saved credit card details for quicker processing in subsequent transactions.

**Key Objectives:**

1. **Payment Processing:** Ensure that the customer can successfully process a payment using a credit card.
2. **Save Credit Card Information:** Confirm that the system allows the customer to save their credit card information upon successful payment.
3. **Verify Saved Payment Method:** Validate that the saved credit card details are correctly stored and can be used for future transactions."
Develop data-driven clientcentral_testcases for Refund Transactions Testcases TC_12 Validate Refund Process For A Completed Transaction,data-driven,TC_12 Validate Refund Process For A Completed Transaction,"*** Settings ***
Documentation    Validate TC_12 Validate Refund Process For A Completed Transaction
Test Template    Test Execution
Resource         resource_file.robot

*** Variables ***
${VALID_USER}       testuser
${VALID_PASSWORD}   secret

*** Test Cases ***
TC_12 Validate Refund Process For A Completed Transaction
[Documentation]    Validate TC_12 Validate Refund Process For A Completed Transaction using the following steps
Launch PayNow Application    ${NON_INTEGRATED_MERCHANT}    ${nan}    ${}
Enter Customer Details    ${customer_details}    ${NON_INTEGRATED_MERCHANT}    ${}
Select Payment Type    ${Lump Sum}    ${nan}    ${}
Process Transaction    ${transaction_details}    ${nan}    ${}
Validate Transaction Completed    ${transaction_details}    ${nan}    ${}
Initiate Refund    ${transaction_details}    ${nan}    ${}
Validate Refund Status    ${refund_status}    ${nan}    ${}
Confirm Refund Processed    ${refund_process_details}    ${nan}    ${}

*** Keywords ***
Launch PayNow Application
[Arguments]    ${NON_INTEGRATED_MERCHANT}    ${nan}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${NON_INTEGRATED_MERCHANT}    ${nan}    ${}

Enter Customer Details
[Arguments]    ${customer_details}    ${NON_INTEGRATED_MERCHANT}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${customer_details}    ${NON_INTEGRATED_MERCHANT}    ${}

Select Payment Type
[Arguments]    ${Lump Sum}    ${nan}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${Lump Sum}    ${nan}    ${}

Process Transaction
[Arguments]    ${transaction_details}    ${nan}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${transaction_details}    ${nan}    ${}

Validate Transaction Completed
[Arguments]    ${transaction_details}    ${nan}    ${}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${transaction_details}    ${nan}    ${}

Initiate Refund
[Arguments]    ${transaction_details}    ${nan}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${transaction_details}    ${nan}    ${}

Validate Refund Status
[Arguments]    ${refund_status}    ${nan}    ${}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${refund_status}    ${nan}    ${}

Confirm Refund Processed
[Arguments]    ${refund_process_details}    ${nan}    ${}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${refund_process_details}    ${nan}    ${}

","The test case 'TC_12 Validate Refund Process For A Completed Transaction' is designed to ensure the integrity and functionality of the refund process for transactions that have already been completed. The primary objectives of this test case include:
"
Create data-driven paynow test cases for Sterlingcooper Testcases TC_45 Validate Successfully Processed Invoices Are Listed Under Payment History,data-driven,TC_45 Validate Successfully Processed Invoices Are Listed Under Payment History,"*** Settings ***
Documentation    Validate TC_45 Validate Successfully Processed Invoices Are Listed Under Payment History
Test Template    Test Execution
Resource         resource_file.robot

*** Variables ***
${VALID_USER}       testuser
${VALID_PASSWORD}   secret

*** Test Cases ***
TC_45 Validate Successfully Processed Invoices Are Listed Under Payment History
[Documentation]    Validate TC_45 Validate Successfully Processed Invoices Are Listed Under Payment History using the following steps
Send Request To Create Customer    ${STERLING_COOPER_MERCHANT}    ${nan}    ${nan}
Send Request To Create Invoice For Customer    ${account_number}    ${STERLING_COOPER_MERCHANT}    ${nan}
Launch PayNow Application    ${STERLING_COOPER_MERCHANT}    ${nan}    ${nan}
Enter Account Number And Invoice    ${account_number}    ${invoice_number}    ${nan}
Pay The Invoice Using Credit Card    ${integrated_merchant}    ${credit_card_details}    ${nan}
Validate Invoice Is Listed Under Payment History    ${processed_invoice_id}    ${nan}    ${nan}

*** Keywords ***
Send Request To Create Customer
[Arguments]    ${STERLING_COOPER_MERCHANT}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${STERLING_COOPER_MERCHANT}    ${nan}    ${nan}

Send Request To Create Invoice For Customer
[Arguments]    ${account_number}    ${STERLING_COOPER_MERCHANT}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${account_number}    ${STERLING_COOPER_MERCHANT}    ${nan}

Launch PayNow Application
[Arguments]    ${STERLING_COOPER_MERCHANT}    ${nan}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${STERLING_COOPER_MERCHANT}    ${nan}    ${nan}

Enter Account Number And Invoice
[Arguments]    ${account_number}    ${invoice_number}    ${nan}
[Return]    ${integer}
[Documentation]    Keyword description
Log    ${account_number}    ${invoice_number}    ${nan}

Pay The Invoice Using Credit Card
[Arguments]    ${integrated_merchant}    ${credit_card_details}    ${nan}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${integrated_merchant}    ${credit_card_details}    ${nan}

Validate Invoice Is Listed Under Payment History
[Arguments]    ${processed_invoice_id}    ${nan}    ${nan}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${processed_invoice_id}    ${nan}    ${nan}

","The test case 'TC_45 Validate Successfully Processed Invoices Are Listed Under Payment History' aims to verify that once an invoice is successfully paid using the PayNow application, it is accurately recorded and displayed under the payment history section for future reference.

### Key Objectives:"
Generate data-driven clientcentral_testcases for user management Testcases TC_33 Validate Admin Can Deactivate User Account,data-driven,TC_33 Validate Admin Can Deactivate User Account,"*** Settings ***
Documentation    Validate TC_33 Validate Admin Can Deactivate User Account
Test Template    Test Execution
Resource         resource_file.robot

*** Variables ***
${VALID_ADMIN_USER}    adminuser
${VALID_ADMIN_PASSWORD}   adminsecret

*** Test Cases ***
TC_33 Validate Admin Can Deactivate User Account
[Documentation]    Validate TC_33 Validate Admin Can Deactivate User Account using the following steps
Select Module    ${User Management}    ${}    ${}
Search User    ${testuser}    ${}    ${}
Select User From List    ${testuser}    ${}    ${}
Deactivate User    ${testuser}    ${}    ${}
Validate User Is Deactivated    ${testuser}    ${}    ${}

*** Keywords ***
Select Module
[Arguments]    ${User Management}    ${}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${User Management}    ${}    ${}

Search User
[Arguments]    ${testuser}    ${}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${testuser}    ${}    ${}

Select User From List
[Arguments]    ${testuser}    ${}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${testuser}    ${}    ${}

Deactivate User
[Arguments]    ${testuser}    ${}    ${}
[Return]    ${string}
[Documentation]    Keyword description
Log    ${testuser}    ${}    ${}

Validate User Is Deactivated
[Arguments]    ${testuser}    ${}    ${}
[Return]    ${boolean}
[Documentation]    Keyword description
Log    ${testuser}    ${}    ${}

","The test case 'TC_33 Validate Admin Can Deactivate User Account' is designed to ensure that an admin user has the ability to deactivate a user account within the system. The purpose of this test case is to verify that the admin can successfully perform this action, which is critical for managing user access and maintaining system security.

Key aspects include:
"
